cell,dir,final
34,6,32
34,7,12
44,0,24
44,1,26
44,2,46
44,3,66
44,4,64
44,5,62
44,6,42
44,7,22
54,0,34
54,1,36
54,2,56
54,3,76
54,4,74
54,5,72
54,6,52
54,7,32
64,0,44
64,1,46
64,2,66
64,3,86
64,4,84
64,5,82
64,6,62
64,7,42
74,0,54
74,1,56
74,2,76
74,3,96
74,4,94
74,5,92
74,6,72
74,7,52
84,0,64
84,1,66
84,2,86
84,3,86
84,4,84
84,5,82
84,6,82
84,7,62
94,0,74
94,1,76
94,2,96
94,3,76
94,4,74
94,5,72
94,6,92
94,7,72
5,0,25
5,1,27
5,2,7
5,3,27
5,4,25
5,5,25
5,6,3
5,7,23
15,0,15
15,1,17
15,2,17
15,3,37
15,4,35
15,5,33
15,6,13
15,7,13
25,0,5
25,1,7
25,2,27
25,3,47
25,4,45
25,5,43
25,6,23
25,7,3
35,0,15
35,1,17
35,2,37
35,3,57
35,4,55
35,5,53
35,6,33
35,7,13
45,0,25
45,1,27
45,2,47
45,3,67
45,4,65
45,5,63
45,6,43
45,7,23
55,0,35
55,1,37
55,2,57
55,3,77
55,4,75
55,5,73
55,6,53
55,7,33
65,0,45
65,1,47
65,2,67
65,3,87
65,4,85
65,5,83
65,6,63
65,7,43
75,0,55
75,1,57
75,2,77
75,3,97
75,4,95
75,5,93
75,6,73
75,7,53
85,0,65
85,1,67
85,2,87
85,3,87
85,4,85
85,5,83
85,6,83
85,7,63
95,0,75
95,1,77
95,2,97
95,3,77
95,4,75
95,5,73
95,6,93
95,7,73
6,0,26
6,1,28
6,2,8
6,3,28
6,4,26
6,5,26
6,6,4
6,7,24
16,0,16
16,1,18
16,2,18
16,3,38
16,4,36
16,5,34
16,6,14
16,7,14
26,0,6
26,1,8
26,2,28
26,3,48
26,4,46
26,5,44
26,6,24
26,7,4
36,0,16
36,1,18
36,2,38
36,3,58
36,4,56
36,5,54
36,6,34
36,7,14
46,0,26
46,1,28
46,2,48
46,3,68
46,4,66
46,5,64
46,6,44
46,7,24
56,0,36
56,1,38
56,2,58
56,3,78
56,4,76
56,5,74
56,6,54
56,7,34
66,0,46
66,1,48
66,2,68
66,3,88
66,4,86
66,5,84
66,6,64
66,7,44
76,0,56
76,1,58
76,2,78
76,3,98
76,4,96
76,5,94
76,6,74
76,7,54
86,0,66
86,1,68
86,2,88
86,3,88
86,4,86
86,5,84
86,6,84
86,7,64
96,0,76
96,1,78
96,2,98
96,3,78
96,4,76
96,5,74
96,6,94
96,7,74
7,0,27
7,1,29
7,2,9
7,3,29
7,4,27
7,5,27
7,6,5
7,7,25
17,0,17
17,1,19
17,2,19
17,3,39
17,4,37
17,5,35
17,6,15
17,7,15
27,0,7
27,1,9
27,2,29
27,3,49
27,4,47
27,5,45
27,6,25
27,7,5
37,0,17
37,1,19
37,2,39
37,3,59
37,4,57
37,5,55
37,6,35
37,7,15
47,0,27
47,1,29
47,2,49
47,3,69
47,4,67
47,5,65
47,6,45
47,7,25
57,0,37
57,1,39
57,2,59
57,3,79
57,4,77
57,5,75
57,6,55
57,7,35
67,0,47
67,1,49
67,2,69
67,3,89
67,4,87
67,5,85
67,6,65
67,7,45
77,0,57
77,1,59
77,2,79
77,3,99
77,4,97
77,5,95
77,6,75
77,7,55
87,0,67
87,1,69
87,2,89
87,3,89
87,4,87
87,5,85
87,6,85
87,7,65
97,0,77
97,1,79
97,2,99
97,3,79
97,4,77
97,5,75
97,6,95
97,7,75
8,0,28
8,1,28
8,2,8
8,3,28
8,4,28
8,5,28
8,6,6
8,7,26
18,0,18
18,1,18
18,2,18
18,3,38
18,4,38
18,5,36
18,6,16
18,7,16
28,0,8
28,1,8
28,2,28
28,3,48
28,4,48
28,5,46
28,6,26
28,7,6
38,0,18
38,1,18
38,2,38
38,3,58
38,4,58
38,5,56
38,6,36
38,7,16
48,0,28
48,1,28
48,2,48
48,3,68
48,4,68
48,5,66
48,6,46
48,7,26
58,0,38
58,1,38
58,2,58
58,3,78
58,4,78
58,5,76
58,6,56
58,7,36
68,0,48
68,1,48
68,2,68
68,3,88
68,4,88
68,5,86
68,6,66
68,7,46
78,0,58
78,1,58
78,2,78
78,3,98
