cell,dir,final
2,0,22
2,1,24
2,2,4
2,3,24
2,4,22
2,5,22
2,6,0
2,7,20
12,0,12
12,1,14
12,2,14
12,3,34
12,4,32
12,5,30
12,6,10
12,7,10
22,0,2
22,1,4
22,2,24
22,3,44
22,4,42
22,5,40
22,6,20
22,7,0
32,0,12
32,1,14
32,2,34
32,3,54
32,4,52
32,5,50
32,6,30
32,7,10
42,0,22
42,1,24
42,2,44
42,3,64
42,4,62
42,5,60
42,6,40
42,7,20
52,0,32
52,1,34
52,2,54
52,3,74
52,4,72
52,5,70
52,6,50
52,7,30
62,0,42
62,1,44
62,2,64
62,3,84
62,4,82
62,5,80
62,6,60
62,7,40
72,0,52
72,1,54
72,2,74
72,3,94
72,4,92
72,5,90
72,6,70
72,7,50
82,0,62
82,1,64
82,2,84
82,3,84
82,4,82
82,5,80
82,6,80
82,7,60
92,0,72
92,1,74
92,2,94
92,3,74
92,4,72
92,5,70
92,6,90
92,7,70
3,0,23
3,1,25
3,2,5
3,3,25
3,4,23
3,5,23
3,6,1
3,7,21
13,0,13
13,1,15
13,2,15
13,3,35
13,4,33
13,5,31
13,6,11
13,7,11
23,0,3
23,1,5
23,2,25
23,3,45
23,4,43
23,5,41
23,6,21
23,7,1
33,0,13
33,1,15
33,2,35
33,3,55
33,4,53
33,5,51
33,6,31
33,7,11
43,0,23
43,1,25
43,2,45
43,3,65
43,4,63
43,5,61
43,6,41
43,7,21
53,0,33
53,1,35
53,2,55
53,3,75
53,4,73
53,5,71
53,6,51
53,7,31
63,0,43
63,1,45
63,2,65
63,3,85
63,4,83
63,5,81
63,6,61
63,7,41
73,0,53
73,1,55
73,2,75
73,3,95
73,4,93
73,5,91
73,6,71
73,7,51
83,0,63
83,1,65
83,2,85
83,3,85
83,4,83
83,5,81
83,6,81
83,7,61
93,0,73
93,1,75
93,2,95
93,3,75
93,4,73
93,5,71
93,6,91
93,7,71
4,0,24
4,1,26
4,2,6
4,3,26
4,4,24
4,5,24
4,6,2
4,7,22
14,0,14
14,1,16
14,2,16
14,3,36
14,4,34
14,5,32
14,6,12
14,7,12
24,0,4
24,1,6
24,2,26
24,3,46
24,4,44
24,5,42
24,6,22
24,7,2
34,0,14
34,1,16
34,2,36
34,3,56
34,4,54
34,5,52
34,6,32
34,7,12
44,0,24
44,1,26
44,2,46
44,3,66
44,4,64
44,5,62
44,6,42
44,7,22
54,0,34
54,1,36
54,2,56
54,3,76
54,4,74
54,5,72
54,6,52
54,7,32
64,0,44
64,1,46
64,2,66
64,3,86
64,4,84
64,5,82
64,6,62
64,7,42
74,0,54
74,1,56
74,2,76
74,3,96
74,4,94
74,5,92
74,6,72
74,7,52
84,0,64
84,1,66
84,2,86
84,3,86
84,4,84
84,5,82
84,6,82
84,7,62
94,0,74
94,1,76
94,2,96
94,3,76
94,4,74
94,5,72
94,6,92
94,7,72
5,0,25
5,1,27
5,2,7
5,3,27
5,4,25
5,5,25
5,6,3
5,7,23
15,0,15
15,1,17
15,2,17
15,3,37
15,4,35
