cell,dir,final
74,1,56
44,6,42
13,2,15
33,4,53
54,6,52
57,3,79
85,3,87
32,1,14
83,7,61
3,4,23
77,6,75
32,6,30
52,2,54
4,2,6
32,5,50
64,6,62
35,3,57
96,6,94
55,7,33
52,0,32
32,2,34
46,0,26
5,3,27
5,7,23
3,7,21
52,5,70
27,3,49
67,4,87
63,4,83
45,7,23
84,7,62
27,5,45
23,0,3
35,5,53
97,5,75
95,5,73
64,7,42
17,3,39
47,4,67
7,6,5
44,0,24
52,6,50
67,5,85
63,0,43
77,1,59
95,2,97
33,6,31
93,1,75
63,6,61
24,5,42
36,4,56
53,2,55
2,2,4
33,1,15
44,2,46
84,3,86
73,1,55
42,6,40
72,0,52
92,0,72
47,2,49
43,3,65
24,0,4
35,7,13
15,0,15
43,2,45
53,7,31
13,3,35
76,1,58
62,6,60
14,4,34
75,2,77
37,2,39
92,3,74
16,1,18
36,1,18
36,0,16
46,5,64
15,2,17
44,3,66
13,7,11
82,2,84
2,4,22
84,6,82
62,2,64
4,0,24
75,3,97
63,3,85
15,6,13
95,6,93
55,5,73
32,3,54
46,2,48
26,3,48
92,4,72
13,0,13
94,1,76
25,1,7
22,5,40
35,2,37
15,4,35
54,3,76
85,0,65
87,0,67
7,3,29
56,4,76
85,7,63
45,5,63
45,6,43
54,4,74
54,5,72
67,6,65
5,5,25
65,7,43
77,7,55
43,6,41
27,1,9
25,3,47
16,6,14
16,7,14
24,2,26
57,2,59
83,2,85
44,7,22
93,3,75
13,5,31
73,7,51
64,3,86
72,4,92
55,6,53
55,2,57
65,6,63
86,3,88
86,2,88
24,7,2
17,2,19
42,7,20
26,2,28
5,0,25
34,4,54
5,6,3
7,1,29
14,2,16
4,7,22
84,1,66
44,4,64
54,0,34
76,2,78
42,3,64
14,7,12
14,6,12
32,7,10
56,6,54
26,4,46
96,7,74
53,4,73
36,2,38
56,2,58
96,0,76
33,5,51
3,2,5
65,4,85
82,6,80
34,3,56
84,4,84
43,7,21
96,1,78
12,1,14
75,1,57
34,5,52
46,7,24
37,6,35
33,0,13
94,6,92
56,1,38
22,3,44
17,0,17
12,6,10
52,3,74
97,1,79
45,0,25
75,0,55
43,5,61
53,5,71
23,4,43
42,2,44
97,3,79
16,4,36
55,3,77
93,6,91
42,1,24
23,7,1
7,2,9
7,7,25
82,7,60
74,7,52
83,1,65
77,2,79
44,1,26
15,3,37
54,1,36
25,4,45
74,6,72
25,0,5
17,1,19
34,7,12
85,6,83
27,7,5
12,7,10
27,2,29
36,7,14
17,4,37
4,3,26
86,1,68
16,5,34
14,0,14
52,4,72
4,4,24
3,0,23
3,1,25
54,7,32
47,1,29
35,4,55
73,2,75
86,7,64
16,3,38
53,1,35
93,0,73
66,4,86
15,5,33
22,6,20
34,1,16
14,3,36
86,6,84
26,7,4
66,6,64
52,1,34
66,5,84
75,5,93
34,0,14
23,1,5
77,0,57
2,0,22
83,3,85
64,0,44
97,2,99
64,5,82
27,0,7
37,1,19
66,7,44
92,5,70
93,4,73
95,7,73
82,5,80
6,1,28
85,1,67
43,0,23
3,5,23
77,5,95
24,1,6
46,1,28
86,0,66
37,7,15
37,0,17
22,1,4
73,0,53
43,1,25
66,3,88
87,4,87
37,3,59
97,7,75
24,4,44
53,6,51
26,5,44
66,1,48
7,5,27
63,7,41
74,2,76
62,3,84
3,3,25
56,3,78
57,5,75
75,4,95
24,6,22
2,3,24
45,1,27
42,0,22
22,7,0
33,2,35
94,7,72
16,0,16
67,1,49
77,3,99
83,5,81
13,4,33
95,4,75
25,6,23
22,4,42
5,2,7
74,4,94
76,3,98
82,4,82
6,7,24
86,5,84
6,6,4
46,4,66
63,5,81
74,0,54
62,0,42
77,4,97
92,7,70
42,5,60
64,2,66
75,6,73
57,1,39
5,4,25
64,1,46
93,7,71
67,3,89
22,2,24
56,7,34
54,2,56
97,6,95
56,5,74
53,3,75
65,1,47
37,4,57
17,6,15
93,2,95
42,4,62
4,5,24
97,4,77
73,4,93
92,1,74
67,2,69
32,0,12
36,6,34
26,6,24
3,6,1
16,2,18
47,7,25
6,5,26
96,5,74
55,1,37
85,5,83
56,0,36
94,3,76
34,2,36
65,5,83
64,4,84
74,5,92
